Company Name,Title,Location,Stipend
Elysium Academy Private Limited,Web Development,Gurgaon,"₹ 10,000 /month"
Property Anthem,Customer Service/Customer Support,Noida,"₹ 7,000 /month"
Digi Monk,Social Media Marketing,Work From Home,"₹ 4,000 /month"
ThePylori,Lead Generation,Bangalore,"₹ 6,000 /month +  Incentives"
Cure And Care Wellness Private Limited,Inside Sales,Work From Home,"₹ 12,000-15,000 /month"
Saboo Sodium Chloro Limited,Human Resources (HR),Kolkata,"₹ 3,000-7,000 /month"
Roslin Institute Of Concepts (OPC) Private Limited,Content Writing,Work From Home,"₹ 1,000-3,000 /month"
Techiesms,Content & E-Commerce Management,Bangalore,"₹ 5,000 /month"
Design Images,Architecture,Bangalore,"₹ 12,000 /month"
Trocals,Business Development,Work From Home,"₹ 1,000-5,000 /month"
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,Human Resources (HR),Work From Home,"₹ 15,000 /month"
WebxInfinity IT Solutions,Full Stack Development,Kolkata,"₹ 2,000 /month"
Kushel Digi Solutions,Content Writing,Bangalore,"₹ 3,000 /month"
Ayanika,Video Editing/Making,Delhi,"₹ 2,000 /month"
Moople Institue Of Animation And Design,Digital Marketing,Bangalore,"₹ 3,000 /month"
The Media Troop,Content Writing,Work From Home,"₹ 2,000 /month"
Megabits Advertisements,Operations,Indore,₹ 700 /week
Sharify Adverts,Social Media Marketing,Pune,₹ 700 /week
Sharify Adverts,Operations,Mumbai,₹ 700 /week
Sharify Adverts,Marketing,Mumbai,₹ 600 /week
Smartinfo Care Solutions Private Limited,Social Media Marketing,Mumbai,"₹ 5,000-10,000 /month"
RVM CAD,Social Media Marketing,Work From Home,"₹ 12,000 /month"
The Digital Frog,Business Development (Sales),Work From Home,"₹ 3,000 /month +  Incentives"
Togopool Private Limited,Customer Service/Customer Support,Work From Home,"₹ 20,000 /month"
FirstCry.com,Product Merchandising,Work From Home,"₹ 8,000 /month"
Luminous Power Technologies,Internal Auditing,Work From Home,"₹ 21,100 /month"
CollegeDekho.com,Talent Acquisition,Chandigarh,"₹ 15,000-20,000 /month"
UniAthena,Content Writing,Chennai,"₹ 10,000 /month"
StudyMadness,Video Editing/Making,Mumbai,"₹ 2,000 /month"
Gaurav Rana,Social Media Marketing,Mumbai,"₹ 5,000-12,000 /month"
Icy Tales,Content Writing,Chennai,"₹ 2,000-10,000 /month"
Vinayak Compserve Private Limited,Cloud Computing,Pune,"₹ 10,000 /month"
Gloify,Recruitment,Work From Home,"₹ 8,000 /month"
Kugelblitz Technologies,Flutter Development,Delhi,"₹ 5,000-8,000 /month"
Eridium,Search Engine Optimization (SEO),Work From Home,"₹ 15,000 /month"
Spectrum,Lead Generation,Delhi,"₹ 3,000 /month"
Zoxima Solutions Private Limited,Business Development (Sales),Thane,"₹ 15,000 /month +  Incentives"
Translytics,UI/UX Design,Navi Mumbai,"₹ 10,000-15,000 /month"
APSARA CHICKEN,Digital Marketing,Mumbai,"₹ 1,000 /month +  Incentives"
Admissify Edutech Private Limited,Data Entry,Bhiwandi,"₹ 8,000-12,000 /month"
REVMAXX AI HEALTHTECH LABS PRIVATE LIMITED,UI/UX Design,Badlapur,"₹ 10,000 /month"
Freezebooking,Content Writing,Work From Home,"₹ 7,000-15,000 /month"
Parnami Infratech Private Limited,Telecalling,Pune,"₹ 10,000-12,000 /month"
Steller Sprangs Solutions Private Limited,Business Development (Sales),Coimbatore,"₹ 2,000 /month +  Incentives"
Aasvi Interior,Interior Design,Mumbai,"₹ 4,000 /month"
Corizo EduTech,Product Marketing,Lucknow,"₹ 1,000-10,000 /month"
Corizo EduTech,LinkedIn Marketing,Work From Home,"₹ 1,000-10,000 /month"
Corizo EduTech,Marketing,Work From Home,"₹ 1,000-10,000 /month"
Corizo EduTech,Social Media Marketing,Jaipur,"₹ 1,000-10,000 /month"
Antino Labs Private Limited,UI/UX Design,Work From Home,"₹ 15,000 /month"
ICRA Analytics Limited,Business Development (Sales),Ahmedabad,"₹ 15,000 /month"
Stimuli Essence (a Brand Of Conation Consumer),Product Management,Gurgaon,"₹ 10,000 /month"
LH2 Holdings,Investment Banking,Delhi,"₹ 10,000 /month"
GS1India,Talent Acquisition,Work From Home,"₹ 5,000 /month +  Incentives"
Edupool Flown Private Limited,Reactjs Development,Mumbai,"₹ 5,000 /month"
HappiMynd,Community Management,Bangalore,"₹ 1,000-2,000 lump sum"
HappiMynd,Operations,Work From Home,"₹ 1,000-2,000 /month"
Donation Box,Fundraising,Work From Home,"₹ 2,500-5,000 /month"
Lawmkr,Business Development (Sales),Kolkata,"₹ 3,000-5,000 /month"
Vijay Transmission Private Limited,Sales,Work From Home,"₹ 12,000-20,000 /month"
Gulmohar Talent Management,Database Building/Management,Work From Home,"₹ 1,000 /month"
Repro India Limited (Bookscape),Customer Service/Customer Support,Work From Home,"₹ 15,000 /month"
B Arun Corporation,E-Commerce Sales,Work From Home,"₹ 5,000 /month +  Incentives"
Global Eduversity,Journalism,Work From Home,"₹ 10,000 /month"
Kanishka Software Private Limited,Client Servicing,Mohali,"₹ 7,000 /month"
NEER GANGA RESORTS,Market Research,Rajajinagar,"₹ 5,000-10,000 /month"
Wisual,YouTube Video Editor (Gaming),Bangalore,"₹ 5,000 /month"
Zyla Health,Dietetics/Nutrition,Work From Home,"₹ 15,000 /month"
Quloi,HR & Training,Gurgaon,"₹ 10,000 /month"
DDB Mudra Private Limited (DDB Mudra Group),Creative Design,Pune,"₹ 8,000 /month"
Sadguru Krupa Service,Engineering Design,Gurgaon,"₹ 2,500 /month"
The Learn Cloud,WordPress Development,Gurgaon,"₹ 10,000 /month"
Optacloud,Flutter Development,Pune,"₹ 10,000 /month"
NeevIQ Technologies Private Limited,International Business Development,Jaipur,"₹ 12,000 /month"
Kennect,Sales Development - Saas,Bangalore,"₹ 10,000-15,000 /month"
Shrishti Softech Solutions (P) Ltd,Business Development (Sales),Work From Home,"₹ 5,000 /month +  Incentives"
Corizo EduTech,Human Resources (HR),Noida,"₹ 15,000 /month"
VidUnit Media Pvt Ltd,Social Media Marketing,Pune,"₹ 7,000-10,000 /month"
My School Of Rock,Sales Consultant,Work From Home,"₹ 6,000 /month"
Geomarine Biotechnologies Private Limited,Biotechnology Production,Delhi,"₹ 2,000 /month +  Incentives"
Minimal Club,Store Fashion Consultant,Kolkata,"₹ 5,000-15,000 /month"
Indiagold,Human Resources (HR),Bangalore,"₹ 12,000 /month"
ITechServ,Network Engineering,Gurgaon,"₹ 10,000-12,000 /month"
E-Feed,Operations,Work From Home,"₹ 10,000 /month"
Jivichem Synthesis Private Limited,Media & Public Relations (PR),Delhi,"₹ 14,000 /month"
Jivichem Synthesis Private Limited,Machine Learning,Work From Home,"₹ 22,000 /month"
KnowbleR,Market Research,Work From Home,"₹ 3,000 lump sum +  Incentives"
Jivichem Synthesis Private Limited,Data Science,Work From Home,"₹ 12,000 /month"
Togwe Private Limited,Content Writing,Work From Home,"₹ 3,000 /month"
Bytive Technologies Private Limited,Backend Development,Gurgaon,"₹ 8,000-12,000 /month"
Ignomagine,Mechanical Engineering,Mumbai,"₹ 10,000 /month"
SurePass Technologies Private Limited,Business Development (Sales),Bangalore,"₹ 10,000 /month"
Prosync Infotech Private Limited,Digital Marketing,Work From Home,"₹ 9,000 /month"
Haze Jewels,Marketing,Work From Home,"₹ 8,000 /month"
Physiz Agtech Private Limited (PhyFarm),Design And Tech Integration,Work From Home,"₹ 5,000 /month"
Kerry Parker,Fashion Design,Work From Home,"₹ 7,500 /month"
Roots Foundation,Communication,Work From Home,"₹ 10,000 /month"
Out Of The Blue,Graphic Design,Work From Home,"₹ 20,000 /month"
WorldRef Technologies Private Limited,Graphic Design,Work From Home,"₹ 10,000-12,000 /month"
Chirag Parmar,Hotel Management(Chef),Mumbai,"₹ 5,000-12,000 /month"
Performship.com,Customer Service/Customer Support,Work From Home,"₹ 11,000 /month"
Besten Tours Private Limited,Social Media Marketing,Mumbai,"₹ 8,000-10,000 /month"
World Development Corporation,Law/Legal,Delhi,"₹ 15,000 /month"
Monsher India Safety Equipment’s Private Limited,Product Marketing,Delhi,"₹ 10,000 /month"
Ampsys Consulting Private Limited,Full Stack Development,Mumbai,"₹ 5,000 /month"
The OmniJobs,Sales Growth,Rishikesh,"₹ 2,000 /month +  Incentives"
Indian School Of Business & Finance,Field Marketing,Work From Home,"₹ 10,000 /month"
Bizware International Technologies Private Limited,International Business Development,Work From Home,"₹ 5,000 /month +  Incentives"
Woodiewin Technology Private Limited,PHP Development,Pune,"₹ 7,000 /month"
UpGrad,Human Resources (HR),Bangalore,"₹ 10,000 /month"
Sapna Jagtap,Law/Legal,Nashik,"₹ 3,000 /month"
ELVI Bardahl India Private Limited,Business Analyst (Projects),Work From Home,"₹ 5,000-10,000 /month"
Codeboard Technology,Recruitment Consultant,Work From Home,"₹ 2,000 /month +  Incentives"
Nuskha Kitchen Private Limited,Search Engine Optimization (SEO),Pune,"₹ 3,500-5,000 /month"
Veritas Buildtech Private Limited,Marketing,Work From Home,"₹ 1,000-3,000 /month"
TRYB Wear,Search Engine Optimization (SEO),Work From Home,"₹ 7,000 /month"
GrowYourPaisa,Video Editing/Making,Bangalore,"₹ 5,000 /month"
DGB Training & Consulting Pvt Ltd,Graphic Design,Mumbai,"₹ 15,000 /month"
Planty Homes,Figma Designer,Work From Home,"₹ 1,000 /month"
Bizzcom Solutions,Media & Public Relations (PR),Chennai,"₹ 3,000-5,000 /month"
Corizo EduTech,Email Marketing,Kolkata,"₹ 1,000-10,000 /month"
Corizo EduTech,Brand Management & Content Marketing,Gurgaon,"₹ 1,000-10,000 /month"
Corizo EduTech,Lead Generation,Mohali,"₹ 1,000-10,000 /month"
7 Virtual Assistant Services,Sales Consultant,Lucknow,"₹ 6,000 /month"
The Third Eye Films,Social Media Marketing,Work From Home,"₹ 10,000 /month"
The Formularx,Social Media Marketing,Work From Home,"₹ 12,000 /month"
HANSRAJ VENTURES PRIVATE LIMITED,Business Development (Sales),Work From Home,"₹ 6,000 /month"
The Secret Label,Political Science,Work From Home,"₹ 5,000-10,000 /month"
Smollan India Private Limited,Data Entry And Analysis,Work From Home,"₹ 5,000 /month +  Incentives"
Ekatva Foundation,Fundraising,Noida,"₹ 600-3,000 lump sum"
Hex Wireless Private Limited,Lead Generation,Bangalore,"₹ 10,000 /month"
Rajshri Entertainment Private Limited,Subtitle & Content Writing,Delhi,"₹ 5,000-10,000 /month"
Namrata Jage And Associates,E-commerce Associate,Delhi,"₹ 3,000-5,000 /month"
RevoltronX,Executive Assistant,Mumbai,"₹ 4,000 /month"
Samatva Lifestyle Private Limited,Digital Marketing,Work From Home,"₹ 5,000-10,000 /month"
Votan Ventures,Environmental Sciences,Delhi,"₹ 3,000-5,000 /month"
Mylstone Services,Social Media Marketing,Gurgaon,"₹ 5,000 /month"
DTDC Express Limited,Customer Service/Customer Support,Pune,"₹ 25,000 /month"
Greatworks Interiors Private Limited,Marketing,Delhi,"₹ 5,000 /month +  Incentives"
Nuevo Home Service,Operations,Mumbai,"₹ 4,000 /month"
Skuad Lab India Private Limited,Business Development (Sales),Noida,"₹ 23,000 /month"
Sudhir Kumar,Anchoring,Delhi,"₹ 8,000-12,000 /month"
MyRaasta,Online Marketing,Pune,"₹ 10,000 /month"
Laksh Bahukhandi,Social Media Marketing,Mumbai,"₹ 7,000-9,500 /month"
BSC Interiors Private Limited,Graphic Design,Bangalore,"₹ 7,500 /month +  Incentives"
Insta Beverages,Digital Marketing,Work From Home,"₹ 6,000 /month +  Incentives"
Digital Factorys,Social Media Marketing,Delhi,"₹ 10,000 /month"
Binge English,Graphic Design,Pune,"₹ 5,000 /month"
Eduminatti,Content Writing,Work From Home,"₹ 2,000 /month"
Genesis Training,Recruitment,Mumbai,"₹ 8,000 /month"
WorldRef Technologies Private Limited,Supply Chain Executive,Thane,"₹ 10,000 /month"
ProductizeTech,"Artificial Intelligence (AI) - Computer Vision, NLP & GenerativeAI",Mumbai,"₹ 10,000 /month"
Fitcraft Technologies Private Limited,Game Development,Chennai,"₹ 15,000 /month"
Himanshi Sharma,Subject Matter Expert (Physics),Jaipur,"₹ 5,000-6,000 /month"
Hans Enterprises,Data Entry,Work From Home,"₹ 4,000 /month"
Sunraj India Corporation,Product Design,Chennai,"₹ 10,000 /month +  Incentives"
Mine Kids Pre-School & Creche,Marketing,Work From Home,"₹ 2,000 /month +  Incentives"
Himanshi Sharma,Doubt Solving Expert Mathematics,Gurgaon,"₹ 5,000-6,000 /month"
Purvi  Bhansali,Video Editing/Making,Work From Home,"₹ 5,000 /month +  Incentives"
Dreams Clues,Telecalling,Work From Home,"₹ 2,000 /month"
RepIndia,Copywriting,Work From Home,"₹ 15,000 /month"
Voxel Busters Interactive LLP,Game Development,Work From Home,"₹ 10,000 /month"
Meghna Sarraswat,Social Media Marketing,Work From Home,"₹ 5,000 /month"
Signity Solutions,Marketing,Work From Home,"₹ 10,000 /month"
Postvila,Acting,Bangalore,"₹ 30,000 /month +  Incentives"
STRI Consulting,Business Development (Sales),Delhi,"₹ 3,000 /month"
Delhi Fashion Club,Video Editing/Making,Ghaziabad,"₹ 2,000 /month"
Duhkaar Beverages,Content & E-Commerce Management,Noida,"₹ 5,000-8,000 /month"
Harbinger Foods Private Limited,E-commerce Operations,Kolkata,"₹ 8,000-10,000 /month"
Panobee Technologies,Business Development (Sales),Hyderabad,"₹ 10,000 /month"
Style Yard Co,Fashion Design And Merchandising,Work From Home,"₹ 1,000 /month +  Incentives"
Akashsonkarfilms,Video Editing/Making,Work From Home,"₹ 5,000 /month"
Triumph System And Solutions Private Limited,Recruitment,Work From Home,"₹ 12,000 /month"
Aventure Corporate Solution,Talent Acquisition,Mumbai,"₹ 10,000-30,000 /month"
Jayprakash Shirpurwar,Full Stack Development,Navi Mumbai,"₹ 2,000 /month +  Incentives"
WWF-India,Secondary Research & Cold Calling,Work From Home,"₹ 10,000 /month"
Excelus FoodBev Private Limited,Search Ads & Performance Marketing,Noida,"₹ 10,000 /month"
Whizzystack Solutions,Business Research,Work From Home,"₹ 5,000 /month"
World Development Corporation,Law/Legal,Work From Home,"₹ 15,000 /month"
Limitless Corp,Merchandising,Gurgaon,"₹ 10,000 /month"
Budding Mariners,Graphic Design,Delhi,"₹ 2,000 /month"
Anandita,WordPress Development,Chennai,"₹ 1,000 /month"
Pawzz,Youth Connective,Perungalathur,"₹ 1,500-7,000 lump sum"
Pawzz,Fundraising,Tambaram Sanatorium,"₹ 1,500-10,000 lump sum"
Pawzz,Volunteering,Kottayam,"₹ 1,000-10,000 /month"
Buffalo Soldiers,Social Media Marketing,Chennai,"₹ 8,000 /month"
Pawzz,Fundraising,Work From Home,"₹ 1,500-10,000 lump sum"
NayePankh Foundation,Social Entrepreneurship,Gurgaon,20% of Total Amount Raised
She Can Foundation,Winter - Social Program,Work From Home,Unpaid
Earth5R,Computer Science Engineering - Research,Delhi,Unpaid
Classplus (Bunch Microtechnologies Private Limited),Customer Service/Customer Support,Work From Home,"₹ 15,000 /month"
Buddha Education Association Incorporation,Blockchain Development,Delhi,"₹ 18,000 /month"
Pawzz,Campus Ambassador,Work From Home,Performance Based
Across The Globe (ATG),Campus Ambassador,Work From Home,Performance Based
Prashant Mishra,"Course Development - Version Control (Git, GitHub, GitLab)",Work From Home,"₹ 8,000-12,000 lump sum"
Buddha Education Association Incorporation,Civil Engineering,Work From Home,"₹ 15,000 /month"
Buddha Education Association Incorporation,Civil Engineering,Mumbai,"₹ 20,000 /month"
THE FAIRYTALE'Ss,Sales Consultant,Bhubaneswar,"₹ 9,000-12,000 /month"
Pawzz,Volunteering,Work From Home,"₹ 1,000-10,000 /month"
Selfcode Academy,Course Creation - Prompt Engineering,Kolkata,"₹ 6,000-10,000 lump sum"
Monday Blues,Telecalling,Delhi,"₹ 5,000-10,000 /month"
Digital Ipsum,Brand Ambassador,Mumbai,"₹ 10,000 /month"
Digital Ipsum,Social Media Marketing,Work From Home,"₹ 4,000 /month"
"Gemkara Gemstore, Gurugram",Graphic Design,Jaipur,"₹ 5,000 /month"
Write Minimal,Digital Marketing,Work From Home,"₹ 20,000 /month"
Buddha Education Association Incorporation,Electrical Engineering,Work From Home,"₹ 15,000 /month"
Paisabazaar,Sales Consultant,Work From Home,"₹ 15,500 /month"
The Waltonia,Digital Marketing,Sikkim,"₹ 2,500-4,500 /month"
LimeRoad,Catalog,Delhi,"₹ 10,000 /month"
TradeIndia (Infocom Network Private Limited),SEO Content Writing,Work From Home,"₹ 10,000 /month"
Buddha Education Association Incorporation,Mobile App Development,Gurgaon,"₹ 35,000 /month"
Qriocity Ventures Private Limited,Telecalling,Work From Home,"₹ 10,000 /month"
Triumph System And Solutions Private Limited,Database Development,Work From Home,"₹ 15,000 /month"
ESSI Integrated Technologies,Frontend Engineering,Work From Home,"₹ 30,000 /month"
Ambikesh Sharma,Executive Assistant - Communications,Mumbai,"₹ 3,000-7,000 /month"
Tech Analogy,Human Resources (HR),West,"₹ 6,000-9,000 /month"
Girl Power Talk,Graphic Design,Delhi,"₹ 4,000-8,000 /month"
Buddha Education Association Incorporation,Artificial Intelligence (AI),Pune,"₹ 25,000 /month"
Buddha Education Association Incorporation,Machine Learning,Delhi,"₹ 25,000 /month"
Buddha Education Association Incorporation,Product Management,Mumbai,"₹ 20,000 /month"
Buddha Education Association Incorporation,Social Media Marketing,Noida,"₹ 15,000 /month"
Vikalp India Private Limited,Multimedia Design,Pune,"₹ 6,000-9,000 /month"
Across The Globe (ATG),Human Resources (HR),Gurgaon,"₹ 1,000-1,500 /month"
All Things Law,Social Media Marketing,Work From Home,"₹ 5,000 /month +  Incentives"
Across The Globe (ATG),Natural Language Processing,Work From Home,"₹ 5,000-8,000 /month"
Mihir Jagtap And Associates,Python Development,Work From Home,"₹ 10,000 /month"
Indika AI Private Limited,Artificial Intelligence (AI),Work From Home,"₹ 5,000-7,000 /month"
Unimonks,Anchoring,Work From Home,"₹ 4,500-6,000 /month"
Eduminatti,Mobile App Development,Noida,"₹ 2,000 /month"
Eduminatti,Business Development (Sales),Work From Home,"₹ 5,000 /month +  Incentives"
Eduminatti,Media & Public Relations (PR),Work From Home,"₹ 5,000 /month"
Eduminatti,Operations,Work From Home,"₹ 5,000-6,000 /month"
ASA MEGA CART Private Limited,Business Development (Sales),Noida,"₹ 5,000 lump sum"
Vayuz Technologies,Human Resources (HR),Gurgaon,"₹ 10,000 /month"
WBeyond Private Limited,Marketing,Ghaziabad,"₹ 10,000 /month"
The Taplow Group,HR Operations,Dehradun,"₹ 15,000 /month"
YOSO MEDIA,Social Media Marketing,Delhi,"₹ 7,000 /month"
Eduminatti,Video Editing/Making,Pune,"₹ 4,000 /month"
Learn Electric Cars,Social Media Marketing,Surat,"₹ 2,000 /month +  Incentives"
Kaala Teeka,Digital Marketing,Patna,"₹ 5,000 /month +  Incentives"
Eduminatti,Graphic Design,Kolkata,"₹ 5,000 /month"
Hermod,Social Media Marketing,Chennai,"₹ 3,000 /month +  Incentives"
OnsiteGo,Business Development (Sales),Faridabad,"₹ 15,000 /month"
Zean Lithos And Company Private Limited,Financial Analyst,Bangalore,"₹ 9,000 /month"
Zaggle,Sales Consultant,Hyderabad,"₹ 35,000 /month"
Digital Guruji,Full Stack Development,Udaipur,"₹ 15,000 /month"
Rankfrog Solutions Private Limited,Digital Marketing,Noida,"₹ 4,000-6,000 /month"
Label Toy,Fashion Design And Merchandising,Mumbai,"₹ 3,000-10,000 /month"
Jambudweep Shodh Kendra,Election Research,Ahmedabad,"₹ 4,000-25,000 /month"
Girl Power Talk,Content Writing,Kochi,"₹ 4,000-8,000 /month"
DCOSMOS,Content Writing,Jaipur,"₹ 3,000 /month"
Snoh Technologies,Supply Chain & Logistics Operations,Hyderabad,"₹ 2,000-5,000 /month"
UrbanRider,Flutter Development,Mumbai,"₹ 10,000 /month"
Bootstrap Digital Solutions,JavaScript & Google AppScript Development (Full Stack Development),Manipal,"₹ 4,000-7,000 /month"
Virtuoso,Video Editing/Making,Pune,"₹ 3,000 /month"
Techolution,Talent Acquisition,Bangalore,"₹ 15,000-20,000 /month"
PR Shastri,Content Writing,Kolkata,"₹ 3,000 /month"
The House Of Classics,Graphic Design,Delhi,"₹ 5,000 /month"
BENGAL TRADE LINKS,Social Media Marketing,Gurgaon,"₹ 8,000-10,000 /month"
Pawzz,Graphic Design,Bhubaneswar,"₹ 10,000-15,000 /month"
AS Digital Technologies,Content Writing,Chandigarh,"₹ 1,500 /month"
Sandeep Mehta,SEO Backlinking,Chennai,"₹ 3,000-5,000 /month"
Advanced Enterprises,Video Editing/Making,Noida,"₹ 10,000-15,000 /month"
Job Funnel,Social Media Marketing,Work From Home,"₹ 3,000-5,000 /month"
Oliveco Estate Private Limited,Social Media Marketing,Work From Home,"₹ 1,000 /month"
Shine Web Solutions,UX/UI Design,Chennai,"₹ 10,000 /month"
Dearbhappy,Social Media Marketing,Jabalpur,"₹ 3,000 /month +  Incentives"
Sagar Defence Engineering Private Limited,Mechanical Engineering,Indore,"₹ 7,000 /month"
Osumare,Digital Marketing,Kolkata,"₹ 8,000 /month"
Globis Foundation,Content Writing,Pune,"₹ 1,500-3,500 /month"
Globis Vidya Private Limited,Content Writing,Nagpur,"₹ 1,500-3,500 /month"
RMC Educational Service Centre,Content Writing,Dehradun,"₹ 1,500-3,500 /month"
Fictionsutra - A Yolo Media Network Initiative,Business Development (Sales),Dehradun,"₹ 4,000 /month"
Web Ratna LLP,Content Writing,Dehradun,"₹ 6,000-8,000 /month"
Transparent Capital,Human Resources (HR),Dehradun,"₹ 5,000-7,000 /month"
Green Portfolio Private Limited,Operations,Pune,"₹ 12,500-15,000 /month"
Buddha Education Association Incorporation,Photography,Noida,"₹ 15,000 /month"
Tumbledry Solution Private Limited,Operations,Bangalore,"₹ 15,000 /month"
SDSR Consultancy Services Private Limited,Equity Analyst,Gurgaon,"₹ 10,000-15,000 /month"
Viviga Ecom,Graphic Design,Pune,"₹ 5,000 /month"
Narigiri's Connect To Universe Private Limited,Online IB MYP Biology Tutoring,Work From Home,"₹ 1,500-8,000 /month"
Travel Raga Holidays Private Limited,Travel & Tourism,Dehradun,"₹ 12,000 /month"
Quantum IT Innovation,Social Media Marketing,Work From Home,"₹ 8,000-10,000 /month"
Think Of It Foundation,Graphic Design,Noida,"₹ 3,500 /month"
Zoxima Solutions Private Limited,Digital Marketing,Delhi,"₹ 15,000 /month"
Celebrare,Search Engine Optimization (SEO),Gurgaon,"₹ 8,000-10,000 /month"
Ossus Biorenewables Private Limited,Mechanical Engineering,Dehradun,"₹ 10,000 /month"
InfluCon Digitals,Photography,Work From Home,"₹ 5,000 /month"
Yokotrip,Content Writing,Chennai,"₹ 5,000-15,000 /month"
Quantum IT Innovation,Search Engine Optimization (SEO),Mumbai,"₹ 8,000-10,000 /month"
Elecbits Technologies Private Limited,Content Writing,Work From Home,"₹ 10,000-20,000 /month"
Innovkraft Incorporation,Content Writing,Gurgaon,"₹ 8,000-15,000 /month"
EasyShiksha,Graphic Design,Work From Home,"₹ 1,500-3,000 /month"
Innovkraft Inc,Content Writing,Bhopal,"₹ 10,000-20,000 /month"
SchoolMitra,Video Editing/Making,Indore,"₹ 10,000-15,000 /month"
Webknot Technologies Private Limited,Business Analytics,Work From Home,"₹ 5,000 /month"
DesignCurve Studio,Interior Design,Work From Home,"₹ 7,500-9,000 /month"
Zen In Cloud,Digital Marketing For International Business Audience,Work From Home,"₹ 6,000-10,000 /month"
Ashv Finance Limited,Digital Marketing,Kota,"₹ 10,000 /month"
Langza Business Services Private Limited,Operations,Work From Home,"₹ 10,000-12,500 /month"
Ubuntu Ideas Private Limited,School Sales,Delhi,"₹ 8,000 /month"
Sanesa Yourganic,Marketing,Work From Home,"₹ 10,000 /month"
Aracknoid AI Solutions (Hygge),AI/ML,Hyderabad,"₹ 5,000 /month"
Student Mentorship Circle,Mentoring,Work From Home,"₹ 1,000 /month"
Dr Ramaswamy Swamy,Law/Legal,Work From Home,"₹ 10,000 /month"
Face Food Organics,Campus Ambassador,Kolkata,Performance Based
Skillwise Centre For English Learning,Research Associate,Work From Home,"₹ 20,000 lump sum"
Anant National University,Admission Counselling,Work From Home,"₹ 10,000-15,000 /month"
Uniqgrid,Full Stack Development,Work From Home,"₹ 5,000 /month"
Grape Events Private Limited,Administration,Work From Home,"₹ 5,000 /month"
UFaber Edutech,Finance,Work From Home,"₹ 10,000-15,000 /month"
PageSuite India Private Limited,Social Media Marketing,Chakan,"₹ 5,000 /month"
Reach Technologies,Algorithm Development,Pune,"₹ 10,000 /month"
Indian Jeweller,Digital Journalism,Work From Home,"₹ 15,000 /month"
Bizinventive,Social Media Marketing,Work From Home,"₹ 5,000-12,000 /month"
Cardekho.com,Copywriting,Work From Home,"₹ 10,000 /month"
Apurva Patil,Content Writing,Work From Home,"₹ 2,000-5,000 /month"
Atish Mathur,Research (Political Science),Anand,"₹ 10,000-15,000 /month"
Gemtech Paras Solutions Private Limited,Graphic Design,Vadodara,"₹ 3,000 /month"
FynTune Solution Private Limited,Java Development,Mumbai,"₹ 15,000 /month"
Unique Infra Engineering India Private Limited,Blogging,Ghaziabad,"₹ 2,500 /month"
Bring Your Own Business,.NET Development,Chennai,"₹ 7,000 /month"
Comcrush Media,Digital Marketing,Delhi,"₹ 5,000 /month +  Incentives"
Manglam Handicrafts,Business Development (Sales),Mumbai,"₹ 5,000 /month +  Incentives"
Manipal Hospitals,Dietetics/Nutrition,Noida,"₹ 10,000 /month"
WeGit Technologies,Content Writing,Nagpur,"₹ 2,000 /month"
Client Associates (CA),Wealth Management,Nashik,"₹ 20,000 /month"
Lean Platform Technologies,Digital Marketing,Gurgaon,"₹ 10,000 /month"
Space Food Club,Sales,Kolkata,"₹ 1,500 /month +  Incentives"
Montaigne Smart Business Solutions,Executive Assistant At Founder's Office,Patna,"₹ 10,000 /month"
Veranda Phire,Social Media Marketing,Pune,"₹ 5,000-10,000 /month"
Finsafe India Private Limited,Sales Support,Bangalore,"₹ 5,000 /month"
TrueFirms | An IT Staff Augmentation Marketplace,Business Development (Sales),Hyderabad,"₹ 6,000 /month"
Finance Lookup Advisors,Finance & Accounting,Goa Velha,"₹ 7,500-15,000 /month"
Repsoft,International Business Development,Noida,"₹ 5,000-10,000 /month"
Anirudh Mittal,Video Editing/Making,Kolkata,"₹ 5,000 /month +  Incentives"
Careers360,Marketing,Mumbai,"₹ 15,000 lump sum +  Incentives"
Urja Talents,Operations,Work From Home,"₹ 6,000 /month +  Incentives"
Indiana Acids And Chemicals Private Limited,Marketing,Delhi,"₹ 15,000-25,000 /month"
Hindustan Boilers,Marketing,Work From Home,"₹ 2,000 /month +  Incentives"
Agriculture Skill Council Of India,Content Development (English),Work From Home,"₹ 10,000-12,000 /month"
Suitable Ai,Data Entry,Work From Home,"₹ 10,000 /month"
Kan Man International,Videos Ad Creation - Reels & Videos,Work From Home,"₹ 3,500 /month"
Wehire Talent Solutions,Human Resources (HR),Bangalore,"₹ 7,000 /month"
UniConverge Technologies Private Limited,Graphic Design,Kolkata,"₹ 6,000 /month"
Tubelight Foundation For Social Innovations,Market Research,Delhi,"₹ 2,500-5,000 lump sum"
FLATLAYBY AA,Product Styling,Work From Home,"₹ 12,000 /month +  Incentives"
World Cyber Security Forum,Social Media Marketing,Gurgaon,"₹ 1,000 /month +  Incentives"
Wizda,Project Management,Bangalore,"₹ 10,000 /month"
Varsha Garodia,Social Media Marketing,Work From Home,"₹ 5,000-12,000 /month"
Awrange Digital Solutions LLP,Content Writing,Bangalore,"₹ 10,000 /month"
Frozen Bottle,Social Media Marketing,Sonipat,"₹ 10,000-15,000 /month"
RKS Solution,Human Resources & Sales,Ahmedabad,"₹ 1,000 /month +  Incentives"
